,Date,Temp_min,Temp_max,Temp_avg,Dew_min,Dew_max,Dew_avg,Hum_min,Hum_max,Hum_avg,Wind_min,Wind_max,Wind_avg,Pres_min,Pres_max,Pres_avg,Precipitation
0,2011-1-1,45,64,52.8,37,48,44.8,37,100,78.0,0,8,3.0,28.6,28.7,28.6,0.00
1,2011-1-2,43,64,53.5,0,52,39.4,30,100,71.0,0,7,5.2,28.6,28.7,28.7,0.00
2,2011-1-3,39,57,45.8,39,52,44.6,72,100,96.2,0,9,3.5,28.7,28.8,28.7,0.00
3,2011-1-4,43,61,51.7,41,48,45.1,48,100,81.6,0,7,3.6,28.6,28.7,28.7,0.00
4,2011-1-5,41,61,49.2,41,61,48.1,68,100,96.8,0,7,4.2,0.0,28.7,27.0,0.00
5,2011-1-6,37,64,50.9,37,55,47.5,56,100,90.3,0,6,2.5,28.6,28.8,28.7,0.00
6,2011-1-7,43,66,53.3,41,50,45.5,40,100,79.4,0,7,3.1,28.6,28.7,28.6,0.00
7,2011-1-8,43,70,54.3,41,52,46.3,35,100,79.3,0,6,3.0,28.5,28.6,28.6,0.00
8,2011-1-9,39,68,50.4,0,45,37.8,28,100,72.7,0,7,3.1,28.6,28.7,28.6,0.00
9,2011-1-10,39,70,54.2,0,45,32.0,21,100,58.3,0,8,2.9,28.6,28.7,28.6,0.00
10,2011-1-11,43,72,56.6,0,43,35.2,22,93,58.2,0,9,3.3,28.6,28.6,28.6,0.00
11,2011-1-12,46,75,59.2,30,45,39.6,19,87,53.7,0,7,2.2,28.5,28.6,28.5,0.00
12,2011-1-13,50,75,62.9,41,50,46.2,29,87,58.0,0,6,2.9,28.5,28.6,28.6,0.00
13,2011-1-14,54,77,63.4,41,50,46.0,31,88,56.0,0,13,5.0,28.5,28.6,28.5,0.00
14,2011-1-15,48,68,57.3,12,48,24.1,13,67,32.2,0,12,6.6,28.6,28.7,28.6,0.00
15,2011-1-16,41,64,53.7,0,39,23.5,22,93,43.8,0,8,3.8,28.6,28.7,28.6,0.00
16,2011-1-17,46,70,57.7,21,41,30.8,16,71,42.1,0,8,4.0,28.5,28.6,28.6,0.00
17,2011-1-18,46,72,62.1,0,41,30.2,23,81,39.2,0,8,4.8,28.5,28.6,28.6,0.00
18,2011-1-19,45,70,56.4,0,45,28.5,16,71,44.6,0,9,3.6,28.6,28.6,28.6,0.00
19,2011-1-20,45,72,56.9,19,37,30.7,14,76,42.7,0,7,1.6,28.6,28.7,28.7,0.00
20,2011-1-21,52,73,61.2,34,45,39.5,25,76,48.2,0,6,2.6,28.6,28.7,28.6,0.00
21,2011-1-22,52,75,65.6,41,48,44.1,31,76,47.5,0,7,3.7,28.6,28.7,28.6,0.00
22,2011-1-23,57,75,64.4,34,45,40.7,27,63,43.4,1,9,4.9,28.6,28.7,28.7,0.00
23,2011-1-24,54,73,62.2,0,41,32.1,20,62,41.8,2,9,4.6,28.7,28.8,28.7,0.00
24,2011-1-25,52,70,60.8,0,41,36.2,23,67,44.3,2,12,6.5,28.6,28.8,28.7,0.00
25,2011-1-26,48,72,60.4,30,45,39.3,22,76,47.7,0,9,5.9,28.7,28.8,28.8,0.00
26,2011-1-27,46,68,56.9,0,39,25.5,26,71,46.1,0,9,3.1,28.7,28.8,28.7,0.00
27,2011-1-28,45,68,55.7,0,37,30.6,26,71,47.8,0,7,3.7,28.6,28.8,28.7,0.00
28,2011-1-29,48,70,59.8,36,43,39.4,33,66,47.9,2,10,6.6,28.5,28.7,28.6,0.00
29,2011-1-30,57,72,63.3,41,52,46.0,41,72,54.5,0,12,5.0,28.6,28.8,28.7,0.00
30,2011-1-31,52,72,62.2,41,52,47.1,35,94,61.1,0,8,3.1,28.7,28.8,28.7,0.00
0,2011-2-1,48,72,61.0,39,48,42.5,31,94,54.2,0,9,3.8,28.6,28.8,28.7,0.00
1,2011-2-2,48,77,63.2,39,48,44.3,27,87,54.7,0,6,2.5,28.7,28.8,28.7,0.00
2,2011-2-3,52,81,66.6,37,52,45.2,23,88,51.1,0,5,3.1,28.6,28.8,28.7,0.00
3,2011-2-4,55,84,69.1,43,54,49.6,25,88,54.9,0,7,3.2,28.6,28.7,28.6,0.00
4,2011-2-5,57,84,69.9,45,54,50.9,26,88,54.2,0,7,2.8,28.5,28.6,28.6,0.00
5,2011-2-6,59,82,71.3,48,55,51.6,32,88,52.5,0,8,4.4,28.5,28.6,28.5,0.00
6,2011-2-7,57,79,67.7,52,57,53.9,39,94,64.2,0,15,6.7,28.4,28.6,28.5,0.00
7,2011-2-8,54,75,62.7,28,48,41.9,18,72,51.0,1,7,4.2,28.5,28.6,28.5,0.00
8,2011-2-9,54,75,63.9,0,46,35.5,19,77,41.7,0,8,3.7,28.5,28.6,28.5,0.00
9,2011-2-10,54,75,65.0,0,43,34.7,21,67,40.4,0,7,3.2,28.6,28.7,28.6,0.00
10,2011-2-11,52,81,66.1,36,45,42.9,20,76,46.4,0,6,2.5,28.6,28.7,28.6,0.00
11,2011-2-12,57,82,70.9,43,52,49.3,30,72,48.6,0,7,3.6,28.5,28.6,28.5,0.00
12,2011-2-13,59,84,72.3,41,57,48.9,22,82,47.3,0,13,5.6,28.4,28.5,28.5,0.00
13,2011-2-14,59,77,67.6,52,64,57.7,44,100,73.2,2,13,6.2,28.4,28.5,28.5,0.00
14,2011-2-15,59,64,62.3,59,64,62.3,100,100,100.0,6,12,9.3,28.4,28.6,28.5,0.00
15,2011-2-16,55,70,62.8,43,63,52.3,40,100,71.6,0,9,3.9,28.5,28.6,28.6,0.00
16,2011-2-17,55,72,65.3,37,55,46.9,29,94,56.6,0,8,4.3,28.6,28.7,28.6,0.00
17,2011-2-18,52,72,62.6,41,52,46.3,33,100,58.1,0,9,4.9,28.6,28.7,28.6,0.00
18,2011-2-19,54,73,63.8,45,52,48.4,36,82,59.6,0,8,4.9,28.6,28.7,28.7,0.00
19,2011-2-20,54,73,65.9,45,59,50.4,36,100,62.2,3,8,6.0,28.6,28.7,28.7,0.00
20,2011-2-21,52,68,60.1,48,55,52.0,52,100,77.4,3,10,5.4,28.7,28.8,28.7,0.00
21,2011-2-22,54,73,63.7,46,59,50.6,0,100,60.0,0,8,4.1,28.6,28.8,28.7,0.00
22,2011-2-23,59,77,68.0,48,59,54.9,36,88,65.4,0,10,6.7,0.0,28.7,27.1,0.00
23,2011-2-24,57,79,68.5,45,59,53.5,32,94,62.6,0,9,5.3,28.5,28.7,28.6,0.00
24,2011-2-25,55,77,66.4,43,55,50.0,29,100,58.6,0,9,4.9,28.5,28.6,28.6,0.00
25,2011-2-26,59,75,66.7,45,57,51.8,36,94,61.8,3,10,6.6,28.6,28.7,28.6,0.00
26,2011-2-27,59,75,67.3,43,57,47.8,31,94,52.9,2,12,7.3,28.7,28.8,28.7,0.00
27,2011-2-28,57,75,66.8,34,48,42.0,22,72,43.1,0,10,4.4,28.6,28.8,28.7,0.00
0,2011-3-1,57,75,65.6,41,52,45.1,29,82,49.4,2,12,6.2,28.6,28.7,28.6,0.00
1,2011-3-2,59,79,69.7,46,57,52.0,36,77,55.5,0,8,3.7,28.5,28.7,28.6,0.00
2,2011-3-3,63,79,71.7,50,59,54.2,36,83,56.2,3,12,8.1,28.5,28.6,28.6,0.00
3,2011-3-4,59,79,68.6,50,55,52.8,42,72,57.9,2,14,9.7,28.5,28.6,28.6,0.00
4,2011-3-5,57,81,70.5,46,57,52.3,30,94,55.4,0,9,5.7,28.6,28.6,28.6,0.00
5,2011-3-6,61,84,72.1,43,52,47.2,26,68,43.1,0,7,3.7,28.6,28.7,28.7,0.00
6,2011-3-7,61,84,72.5,41,48,45.0,27,63,38.8,0,8,4.2,28.6,28.8,28.7,0.00
7,2011-3-8,0,84,67.5,0,57,46.8,0,77,45.6,0,8,4.5,0.0,28.7,27.1,0.00
8,2011-3-9,61,81,70.9,37,55,45.2,26,77,42.9,0,8,5.1,28.5,28.6,28.6,0.00
9,2011-3-10,59,81,69.8,37,50,41.9,21,59,38.9,0,8,3.7,28.6,28.7,28.6,0.00
10,2011-3-11,57,81,70.7,37,48,42.9,21,63,39.4,0,10,4.1,28.6,28.7,28.6,0.00
11,2011-3-12,63,84,73.9,0,50,39.0,15,63,32.2,0,9,2.7,28.6,28.7,28.6,0.00
12,2011-3-13,63,90,76.7,34,46,39.6,14,55,29.3,0,12,4.3,0.0,28.6,27.1,0.00
13,2011-3-14,61,90,77.4,36,48,44.2,15,59,33.7,0,8,4.6,28.5,28.6,28.5,0.00
14,2011-3-15,66,90,76.2,46,54,50.5,24,60,42.3,0,8,3.8,28.5,28.6,28.6,0.00
15,2011-3-16,64,93,78.2,41,55,49.6,16,68,40.0,0,8,2.8,28.4,28.6,28.5,0.00
16,2011-3-17,66,97,82.6,39,52,46.5,14,60,32.0,0,9,3.2,28.4,28.5,28.4,0.00
17,2011-3-18,68,97,83.7,37,52,42.9,13,56,26.0,0,18,7.2,28.3,28.4,28.4,0.00
18,2011-3-19,72,93,81.8,0,48,38.6,11,41,24.8,5,16,9.3,28.3,28.4,28.3,0.00
19,2011-3-20,68,91,81.0,0,48,32.6,10,41,20.8,0,15,8.4,28.3,28.4,28.4,0.00
20,2011-3-21,64,91,78.1,0,50,35.3,10,52,26.6,0,8,4.4,0.0,28.5,26.9,0.00
21,2011-3-22,61,93,82.3,36,46,42.0,14,52,25.9,0,8,3.9,28.4,28.5,28.5,0.00
22,2011-3-23,68,91,81.6,37,46,42.5,15,46,26.7,1,15,4.9,28.4,28.6,28.5,0.00
23,2011-3-24,66,90,78.8,39,48,44.7,17,52,31.9,0,7,3.8,28.4,28.6,28.5,0.00
24,2011-3-25,64,91,79.3,0,203,46.9,0,59,27.3,0,10,3.1,28.5,28.6,28.5,0.00
25,2011-3-26,68,95,84.6,27,45,36.0,9,43,21.1,0,10,3.6,28.5,28.6,28.5,0.00
26,2011-3-27,72,97,85.8,0,41,34.3,10,31,18.0,0,15,5.6,28.4,28.6,28.5,0.00
27,2011-3-28,79,99,86.8,0,41,33.0,10,26,17.7,0,12,5.0,28.4,28.5,28.4,0.00
28,2011-3-29,75,97,86.9,39,59,49.5,14,57,29.7,0,9,5.0,28.4,28.5,28.4,0.00
29,2011-3-30,72,90,81.8,48,68,53.2,24,78,39.1,0,16,6.0,28.4,28.6,28.5,0.00
30,2011-3-31,73,93,85.1,39,48,43.2,15,38,23.8,3,8,5.5,28.4,28.6,28.5,0.00
0,2011-4-1,68,93,83.4,34,50,42.9,12,52,26.1,0,10,5.1,28.4,28.5,28.5,0.00
1,2011-4-2,70,91,81.5,0,48,36.5,9,46,24.8,3,13,6.6,28.4,28.5,28.4,0.00
2,2011-4-3,70,90,79.4,30,52,42.1,12,49,28.4,3,12,7.1,28.5,28.6,28.5,0.00
3,2011-4-4,66,90,76.6,0,41,30.3,8,35,21.3,0,9,2.5,28.5,28.6,28.6,0.00
4,2011-4-5,66,91,82.5,0,36,24.0,7,30,15.3,0,9,3.0,28.5,28.6,28.6,0.00
